anime_id,Name,Score,Genres,English name,Japanese name,sypnopsis,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped
31537,Manaria Friends,6.63,"Demons, Fantasy, Magic, Supernatural",Mysteria Friends,マナリアフレンズ,"steria Academy is a prestigious magic school that teaches magic without discrimination to the three factions (men, gods, demons), who usually are engaged in battle with each other. Two of the academy's students are Anne, a princess and honor student, and Grea, a princess born from a dragon and a human. (Source: ANN)",TV,10,"Jan 21, 2019 to Mar 25, 2019",Winter 2019,"Asmik Ace, Cygames, Happinet",Sentai Filmworks,CygamesPictures,Card game,15 min. per ep.,PG-13 - Teens 13 or older,5270,1522,90171,227,8001,28241,2623,6430
32455,Gekidol,5.76,Music,Gekidol,ゲキドル,"Set five years after the mysterious disaster of a city's sudden disappearance, a group of girls fascinated by the ""Theatrical Material System"" using 3D holograms aims to brighten the stage during the city's post-apocalyptic recovery. (Source: MAL News)",TV,12,"Jan 5, 2021 to ?",Winter 2021,Unknown,Funimation,Hoods Entertainment,Original,23 min. per ep.,Unknown,8985,5220,8609,20,3573,3,192,1109
34209,Meiji Tokyo Renka,6.93,"Harem, Historical, Supernatural, Romance, Shoujo",Unknown,明治東亰恋伽,"azuki is just your ordinary, everyday high-school girl. That is until one night, when the moon is full and red, she’s transported through time to the Meiji Period by Charlie, a self-proclaimed magician. She ends up in a strange, Meiji-era ‘Tokyo’ where the existence of ghosts is accepted. Led by Charlie, she finally arrives at the Rokumeikan. There, waiting for her to arrive, are the historical figures Ougai Mori, Shunsou Hishida, Otojirou Kawakami, Kyouka Izumi, Gorou Fujita, Yakumo Koizumi, and Tousuke Iwasaki. Whilst interacting with these men, she discovers she is a Tamayori - someone who can see ghosts - a skill that is highly valued in the Meiji Period. Due to these powers, her relationship with the men begins to change… As she gets to know these handsome men in a new era she just can’t get used to, a love begins to grow within her. Will Mei be able to return to her time? What will become of her love - a love that crosses the boundaries of time and space? (Source: Honey's Anime)",TV,12,"Jan 9, 2019 to Mar 27, 2019",Winter 2019,"BS Fuji, MAGES., Tokyo MX, TV Aichi",Funimation,TMS Entertainment,Visual novel,23 min. per ep.,PG-13 - Teens 13 or older,3913,2869,31953,196,2799,14780,931,2271
34332,Hulaing Babies,5.88,"Slice of Life, Comedy",Unknown,フライングベイビーズ,The anime will center on a group of young girls and their struggle as they aim to become Hula Girls.,TV,12,"Jan 11, 2019 to Mar 29, 2019",Winter 2019,Unknown,Unknown,Gaina,Original,5 min. per ep.,PG-13 - Teens 13 or older,8583,7568,3303,3,228,1216,111,452
35252,Hatena☆Illusion,5.37,"Comedy, Supernatural, Romance, Ecchi",Hatena Illusion,はてな☆イリュージョン,"Years ago, many magical ""Artifacts"" were stolen and scattered throughout the world. They fell into the hands of people who were not supposed to know of their existence, causing misfortune to those who abused their power. The Hoshisato family of magicians has special access to the Artifacts, and they take it upon themselves to return them to their rightful place. Despite her inexperience, Kana ""Hatena"" Hoshisato wishes to aid her parents Mamoru and Maeve in their quest, doing her best to improve. Meanwhile, her childhood friend Makoto Shiranui has come to their mansion to study magic under her father's tutelage as part of a promise they made years ago. Hatena is excited to see her friend again, only to be utterly disappointed when the person she thought to be a girl all these years turns out to be a boy, leading to a bitter reunion. Before long, Makoto comes to know of the Artifacts and the true identities of the magicians he admires. Unfazed, he continues to strive to fulfill his promises and stay true to why he learns magic—to ease the sadness of people around him and, most importantly, to become a person worthy of being Hatena's partner.",TV,12,"Jan 9, 2020 to Jun 4, 2020",Winter 2020,"Shueisha, bilibili, Bandai Namco Arts",Funimation,Children's Playground Entertainment,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,10001,2997,29551,25,3382,9560,1134,5842
35313,Kemono Friends 2,5.87,"Adventure, Comedy",Unknown,けものフレンズ2,Second season of Kemono Friends .,TV,12,"Jan 15, 2019 to Apr 2, 2019",Winter 2019,Unknown,Unknown,Tomason,Game,22 min. per ep.,PG-13 - Teens 13 or older,8644,4332,13642,47,918,5233,465,1430
35790,Tate no Yuusha no Nariagari,8,"Action, Adventure, Drama, Fantasy",The Rising of the Shield Hero,盾の勇者の成り上がり,"The Four Cardinal Heroes are a group of ordinary men from modern-day Japan summoned to the kingdom of Melromarc to become its saviors. Melromarc is a country plagued by the Waves of Catastrophe that have repeatedly ravaged the land and brought disaster to its citizens for centuries. The four heroes are respectively bestowed a sword, spear, bow, and shield to vanquish these Waves. Naofumi Iwatani, an otaku, becomes cursed with the fate of being the ""Shield Hero."" Armed with only a measly shield, Naofumi is belittled and ridiculed by his fellow heroes and the kingdom's people due to his weak offensive capabilities and lackluster personality. When the heroes are provided with resources and comrades to train with, Naofumi sets out with the only person willing to train alongside him, Malty Melromarc. He is soon betrayed by her, however, and becomes falsely accused of taking advantage of her. Naofumi then becomes heavily discriminated against and hated by the people of Melromarc for something he didn't do. With a raging storm of hurt and mistrust in his heart, Naofumi begins his journey of strengthening himself and his reputation. Further along however, the difficulty of being on his own sets in, so Naofumi buys a demi-human slave on the verge of death named Raphtalia to accompany him on his travels. As the Waves approach the kingdom, Naofumi and Raphtalia must fight for the survival of the kingdom and protect the people of Melromarc from their ill-fated future.",TV,25,"Jan 9, 2019 to Jun 26, 2019",Winter 2019,"Frontier Works, AT-X, Nippon Columbia, Glovision, Good Smile Company, Sammy, Kadokawa Media House, NTT Plala, Kadokawa, Crunchyroll SC Anime Fund",Funimation,Kinema Citrus,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,537,85,907714,18693,103861,636889,15979,27622
36458,Soukou Musume Senki,5.3,"Action, Military, Fantasy",LBX Girls,装甲娘戦機,"In an unplanned field trip, Riko is transported to an alternate Japan where metal-based life forms known as Mimesis ravage the world. Only girls equipped with LBX armored weaponry can stand up to this scourge. Joined by four other displaced young women, Riko will have to adapt to save humanity. The hope of a planet now rests on these heavy metal soldiers who desire one wish—to return home again! (Source: Leoanime)",TV,12,"Jan 7, 2021 to ?",Winter 2021,DMM Music,Funimation,Studio A-CAT,Game,23 min. per ep.,Unknown,10141,5222,8605,20,3308,2,203,1097
36483,B-Project: Zecchou*Emotion,6.71,"Music, Shoujo",Unknown,B-PROJECT～絶頂＊エモーション～,Second season of B-Project: Kodou*Ambitious .,TV,12,"Jan 12, 2019 to Mar 30, 2019",Winter 2019,"AT-X, Dwango, MAGES., Asahi Broadcasting, Tochigi TV",Unknown,Bandai Namco Pictures,Music,24 min. per ep.,PG-13 - Teens 13 or older,4848,4751,10903,68,792,4243,361,512
36633,Date A Live III,7.13,"Sci-Fi, Harem, Comedy, Romance, Mecha, School",Date A Live III,デート・ア・ライブⅢ,"Shidou Itsuka carries on with his quest for Ratatoskr in finding Spirits and trying to seal their powers, all while maintaining his relationships with the ones he had already sealed. Moreover, as new Spirits appear, he must undergo more complicated trials—all to put a stop to further disasters as he discovers more about the Spirits' origin.",TV,12,"Jan 11, 2019 to Mar 29, 2019",Winter 2019,"Nippon Columbia, Kadokawa",Funimation,J.C.Staff,Light novel,24 min. per ep.,R - 17+ (violence & profanity),3087,658,223731,2534,14941,135419,4866,6129
